article_id,date,total_quantity
ART004,2021-02-03,35
ART005,2021-02-03,39
ART006,2021-02-03,19
ART007,2021-02-03,13
ART008,2021-02-03,12
ART010,2021-02-03,12
ART011,2021-02-03,6
ART012,2021-02-03,13
ART014,2021-02-03,10
ART018,2021-02-03,8
ART025,2021-02-03,8
ART032,2021-02-03,10
MED001,2021-02-03,25
MED002,2021-02-03,25
MED003,2021-02-03,45
MED004,2021-02-03,31
MED005,2021-02-03,31
MED006,2021-02-03,50
MED007,2021-02-03,17
MED008,2021-02-03,41
MED009,2021-02-03,90
MED010,2021-02-03,39
MED011,2021-02-03,42
MED012,2021-02-03,51
MED013,2021-02-03,14
MED014,2021-02-03,10
MED015,2021-02-03,15
MED019,2021-02-03,21
MED021,2021-02-03,19
MED022,2021-02-03,12
MED023,2021-02-03,7
MED025,2021-02-03,11
MED026,2021-02-03,8
MED028,2021-02-03,3
MED032,2021-02-03,5
PH201,2021-02-03,61
PH202,2021-02-03,47
PH203,2021-02-03,9
PH204,2021-02-03,20
PH205,2021-02-03,34
PH208,2021-02-03,10
PH213,2021-02-03,2
PH214,2021-02-03,1
PH234,2021-02-03,31
ART001,2021-02-04,29
ART002,2021-02-04,35
ART003,2021-02-04,30
ART004,2021-02-04,44
ART005,2021-02-04,35
ART006,2021-02-04,8
ART007,2021-02-04,6
ART008,2021-02-04,8
ART011,2021-02-04,6
ART014,2021-02-04,7
ART015,2021-02-04,15
ART018,2021-02-04,7
ART024,2021-02-04,2
ART025,2021-02-04,7
ART026,2021-02-04,1
ART030,2021-02-04,10
ART031,2021-02-04,1
MED001,2021-02-04,37
MED002,2021-02-04,23
MED003,2021-02-04,56
MED004,2021-02-04,29
MED005,2021-02-04,68
MED006,2021-02-04,36
MED007,2021-02-04,37
MED008,2021-02-04,23
MED009,2021-02-04,73
MED010,2021-02-04,18
MED011,2021-02-04,46
MED012,2021-02-04,45
MED014,2021-02-04,17
MED016,2021-02-04,7
MED017,2021-02-04,15
MED018,2021-02-04,3
MED019,2021-02-04,4
MED020,2021-02-04,10
MED023,2021-02-04,30
MED025,2021-02-04,8
MED026,2021-02-04,12
MED028,2021-02-04,8
PH201,2021-02-04,60
PH202,2021-02-04,17
PH203,2021-02-04,12
PH204,2021-02-04,13
PH205,2021-02-04,21
PH207,2021-02-04,3
PH214,2021-02-04,5
PH218,2021-02-04,8
PH234,2021-02-04,42
ART002,2021-02-05,20
ART003,2021-02-05,28
ART004,2021-02-05,38
ART005,2021-02-05,31
ART006,2021-02-05,19
ART007,2021-02-05,9
ART009,2021-02-05,8
ART010,2021-02-05,1
ART011,2021-02-05,6
ART012,2021-02-05,34
ART013,2021-02-05,25
ART014,2021-02-05,15
ART016,2021-02-05,3
ART017,2021-02-05,1
ART018,2021-02-05,11
ART027,2021-02-05,1
MED001,2021-02-05,36
MED002,2021-02-05,28
MED003,2021-02-05,45
MED004,2021-02-05,38
MED005,2021-02-05,28
MED006,2021-02-05,35
MED007,2021-02-05,52
MED008,2021-02-05,26
MED009,2021-02-05,44
MED011,2021-02-05,18
MED012,2021-02-05,32
MED016,2021-02-05,16
MED019,2021-02-05,19
MED020,2021-02-05,11
MED021,2021-02-05,17
MED022,2021-02-05,11
MED024,2021-02-05,19
MED026,2021-02-05,8
MED028,2021-02-05,1
MED029,2021-02-05,3
MED033,2021-02-05,1
PH201,2021-02-05,38
PH202,2021-02-05,32
PH203,2021-02-05,25
PH204,2021-02-05,11
PH205,2021-02-05,12
PH206,2021-02-05,12
PH207,2021-02-05,6
PH210,2021-02-05,2
PH216,2021-02-05,1
PH220,2021-02-05,2
PH221,2021-02-05,2
PH224,2021-02-05,2
PH234,2021-02-05,18
ART001,2021-02-06,3
ART002,2021-02-06,10
ART003,2021-02-06,13
ART004,2021-02-06,20
ART005,2021-02-06,10
ART006,2021-02-06,4
ART007,2021-02-06,1
ART009,2021-02-06,7
ART010,2021-02-06,2
ART011,2021-02-06,9
ART013,2021-02-06,2
ART014,2021-02-06,7
ART020,2021-02-06,1
ART023,2021-02-06,6
ART029,2021-02-06,1
ART034,2021-02-06,1
ART035,2021-02-06,2
MED001,2021-02-06,46
MED002,2021-02-06,27
MED003,2021-02-06,46
MED004,2021-02-06,22
MED005,2021-02-06,20
MED006,2021-02-06,22
MED007,2021-02-06,48
MED008,2021-02-06,29
MED009,2021-02-06,78
MED010,2021-02-06,29
MED011,2021-02-06,20
MED012,2021-02-06,20
MED014,2021-02-06,15
MED015,2021-02-06,4
MED019,2021-02-06,15
MED020,2021-02-06,2
MED021,2021-02-06,8
MED023,2021-02-06,17
MED025,2021-02-06,4
MED026,2021-02-06,6
MED035,2021-02-06,1
MED037,2021-02-06,3
PH201,2021-02-06,60
PH202,2021-02-06,31
PH203,2021-02-06,8
PH204,2021-02-06,9
PH221,2021-02-06,3
PH224,2021-02-06,15
PH234,2021-02-06,21
ART001,2021-02-07,11
ART002,2021-02-07,10
ART003,2021-02-07,14
ART004,2021-02-07,11
ART005,2021-02-07,13
ART006,2021-02-07,5
ART007,2021-02-07,1
ART008,2021-02-07,8
ART011,2021-02-07,1
ART013,2021-02-07,11
ART014,2021-02-07,2
ART016,2021-02-07,1
ART026,2021-02-07,1
ART027,2021-02-07,1
ART034,2021-02-07,1
MED001,2021-02-07,47
MED002,2021-02-07,19
MED003,2021-02-07,40
MED004,2021-02-07,34
MED005,2021-02-07,18
MED006,2021-02-07,40
MED007,2021-02-07,15
MED008,2021-02-07,11
MED009,2021-02-07,46
MED010,2021-02-07,23
MED011,2021-02-07,66
MED012,2021-02-07,19
MED013,2021-02-07,8
MED014,2021-02-07,11
MED015,2021-02-07,4
MED016,2021-02-07,9
MED017,2021-02-07,8
MED018,2021-02-07,4
MED019,2021-02-07,4
MED020,2021-02-07,9
MED022,2021-02-07,5
MED024,2021-02-07,11
MED032,2021-02-07,1
MED034,2021-02-07,6
PH202,2021-02-07,29
PH203,2021-02-07,3
PH204,2021-02-07,13
PH205,2021-02-07,14
PH206,2021-02-07,6
PH208,2021-02-07,6
PH212,2021-02-07,10
PH213,2021-02-07,1
PH234,2021-02-07,18
ART001,2021-02-08,27
ART003,2021-02-08,73
ART004,2021-02-08,45
ART005,2021-02-08,40
ART006,2021-02-08,8
ART007,2021-02-08,14
ART008,2021-02-08,29
ART011,2021-02-08,14
ART012,2021-02-08,16
ART015,2021-02-08,18
ART016,2021-02-08,6
ART020,2021-02-08,1
ART026,2021-02-08,4
MED001,2021-02-08,73
MED002,2021-02-08,30
MED003,2021-02-08,59
MED004,2021-02-08,47
MED005,2021-02-08,52
MED006,2021-02-08,48
MED007,2021-02-08,21
MED008,2021-02-08,37
MED009,2021-02-08,63
MED010,2021-02-08,21
MED012,2021-02-08,51
MED013,2021-02-08,4
MED014,2021-02-08,17
MED016,2021-02-08,20
MED017,2021-02-08,30
MED018,2021-02-08,8
MED019,2021-02-08,29
MED023,2021-02-08,21
MED024,2021-02-08,9
MED025,2021-02-08,13
PH201,2021-02-08,52
PH203,2021-02-08,17
PH205,2021-02-08,21
PH206,2021-02-08,23
PH210,2021-02-08,1
PH213,2021-02-08,2
PH234,2021-02-08,20
ART001,2021-02-09,27
ART002,2021-02-09,18
ART003,2021-02-09,29
ART004,2021-02-09,56
ART005,2021-02-09,29
ART009,2021-02-09,12
ART012,2021-02-09,18
ART013,2021-02-09,36
ART014,2021-02-09,11
ART019,2021-02-09,13
ART023,2021-02-09,8
MED001,2021-02-09,53
MED002,2021-02-09,27
MED003,2021-02-09,31
MED004,2021-02-09,35
MED005,2021-02-09,32
MED006,2021-02-09,23
MED007,2021-02-09,33
MED008,2021-02-09,24
MED009,2021-02-09,61
MED010,2021-02-09,32
MED011,2021-02-09,24
MED012,2021-02-09,34
MED013,2021-02-09,7
MED014,2021-02-09,24
MED022,2021-02-09,4
MED023,2021-02-09,11
MED025,2021-02-09,6
MED030,2021-02-09,7
MED032,2021-02-09,1
MED034,2021-02-09,3
PH201,2021-02-09,37
PH202,2021-02-09,21
PH203,2021-02-09,4
PH205,2021-02-09,16
PH206,2021-02-09,12
PH207,2021-02-09,14
PH208,2021-02-09,10
PH217,2021-02-09,2
PH219,2021-02-09,4
PH234,2021-02-09,31
ART001,2021-02-10,23
ART003,2021-02-10,55
ART004,2021-02-10,36
ART005,2021-02-10,23
ART006,2021-02-10,12
ART007,2021-02-10,6
ART010,2021-02-10,9
ART011,2021-02-10,15
ART014,2021-02-10,15
ART015,2021-02-10,6
ART019,2021-02-10,3
ART028,2021-02-10,1
MED001,2021-02-10,33
MED002,2021-02-10,48
MED003,2021-02-10,46
MED004,2021-02-10,54
MED005,2021-02-10,16
MED006,2021-02-10,16
MED007,2021-02-10,18
MED008,2021-02-10,24
MED009,2021-02-10,32
MED010,2021-02-10,30
MED011,2021-02-10,80
MED012,2021-02-10,57
MED013,2021-02-10,12
MED017,2021-02-10,13
MED020,2021-02-10,10
MED024,2021-02-10,19
MED027,2021-02-10,1
MED029,2021-02-10,1
MED033,2021-02-10,6
PH201,2021-02-10,34
PH202,2021-02-10,21
PH203,2021-02-10,5
PH204,2021-02-10,18
PH205,2021-02-10,17
PH206,2021-02-10,24
PH208,2021-02-10,17
PH212,2021-02-10,2
PH217,2021-02-10,4
PH220,2021-02-10,1
PH223,2021-02-10,4
PH224,2021-02-10,3
PH234,2021-02-10,40
ART001,2021-02-11,11
ART002,2021-02-11,23
ART003,2021-02-11,61
ART004,2021-02-11,24
ART005,2021-02-11,24
ART006,2021-02-11,9
ART010,2021-02-11,6
ART011,2021-02-11,5
ART012,2021-02-11,19
ART013,2021-02-11,10
ART015,2021-02-11,14
ART018,2021-02-11,11
ART026,2021-02-11,1
ART034,2021-02-11,1
MED001,2021-02-11,96
MED002,2021-02-11,37
MED003,2021-02-11,39
MED004,2021-02-11,26
MED005,2021-02-11,31
MED006,2021-02-11,36
MED007,2021-02-11,12
MED008,2021-02-11,16
MED009,2021-02-11,48
MED010,2021-02-11,37
MED012,2021-02-11,59
MED014,2021-02-11,18
MED016,2021-02-11,20
MED017,2021-02-11,15
MED018,2021-02-11,20
MED019,2021-02-11,14
MED022,2021-02-11,3
MED024,2021-02-11,18
MED026,2021-02-11,7
MED028,2021-02-11,6
MED029,2021-02-11,5
MED036,2021-02-11,2
PH202,2021-02-11,20
PH204,2021-02-11,12
PH205,2021-02-11,8
PH206,2021-02-11,19
PH217,2021-02-11,3
PH234,2021-02-11,24
ART001,2021-02-12,28
ART002,2021-02-12,17
ART003,2021-02-12,40
ART004,2021-02-12,34
ART005,2021-02-12,26
ART007,2021-02-12,3
ART008,2021-02-12,8
ART012,2021-02-12,13
ART013,2021-02-12,9
ART015,2021-02-12,12
ART017,2021-02-12,4
ART020,2021-02-12,2
ART023,2021-02-12,8
MED001,2021-02-12,54
MED002,2021-02-12,31
MED003,2021-02-12,59
MED004,2021-02-12,28
MED005,2021-02-12,48
MED006,2021-02-12,56
MED007,2021-02-12,13
MED008,2021-02-12,20
MED009,2021-02-12,45
MED010,2021-02-12,28
MED011,2021-02-12,66
MED012,2021-02-12,37
MED014,2021-02-12,16
MED015,2021-02-12,15
MED016,2021-02-12,17
MED017,2021-02-12,14
MED018,2021-02-12,16
MED019,2021-02-12,12
MED020,2021-02-12,9
MED023,2021-02-12,13
MED024,2021-02-12,10
MED025,2021-02-12,6
MED026,2021-02-12,4
MED034,2021-02-12,7
PH201,2021-02-12,32
PH202,2021-02-12,45
PH203,2021-02-12,1
PH204,2021-02-12,8
PH205,2021-02-12,7
PH221,2021-02-12,5
ART001,2021-02-13,6
ART002,2021-02-13,10
ART003,2021-02-13,17
ART004,2021-02-13,33
ART005,2021-02-13,7
ART007,2021-02-13,4
ART009,2021-02-13,4
ART011,2021-02-13,9
ART012,2021-02-13,4
ART013,2021-02-13,13
ART014,2021-02-13,9
ART019,2021-02-13,4
ART033,2021-02-13,1
ART035,2021-02-13,1
MED001,2021-02-13,74
MED002,2021-02-13,17
MED003,2021-02-13,26
MED004,2021-02-13,31
MED005,2021-02-13,45
MED006,2021-02-13,40
MED007,2021-02-13,26
MED008,2021-02-13,16
MED009,2021-02-13,42
MED010,2021-02-13,41
MED011,2021-02-13,46
MED012,2021-02-13,58
MED013,2021-02-13,4
MED014,2021-02-13,8
MED016,2021-02-13,8
MED017,2021-02-13,13
MED018,2021-02-13,19
MED019,2021-02-13,12
MED020,2021-02-13,4
MED022,2021-02-13,4
MED023,2021-02-13,10
MED024,2021-02-13,7
MED025,2021-02-13,9
MED026,2021-02-13,3
MED029,2021-02-13,4
MED031,2021-02-13,2
PH201,2021-02-13,29
PH202,2021-02-13,27
PH204,2021-02-13,17
PH206,2021-02-13,10
PH207,2021-02-13,15
PH208,2021-02-13,11
PH209,2021-02-13,6
PH221,2021-02-13,6
ART002,2021-02-14,14
ART003,2021-02-14,11
ART004,2021-02-14,17
ART005,2021-02-14,7
ART008,2021-02-14,2
ART011,2021-02-14,4
ART012,2021-02-14,2
ART014,2021-02-14,2
ART015,2021-02-14,2
ART018,2021-02-14,1
MED001,2021-02-14,46
MED002,2021-02-14,30
MED004,2021-02-14,18
MED005,2021-02-14,36
MED006,2021-02-14,29
MED007,2021-02-14,34
MED008,2021-02-14,18
MED009,2021-02-14,50
MED010,2021-02-14,29
MED011,2021-02-14,39
MED012,2021-02-14,45
MED015,2021-02-14,25
MED016,2021-02-14,9
MED017,2021-02-14,8
MED018,2021-02-14,4
MED019,2021-02-14,14
MED020,2021-02-14,7
MED023,2021-02-14,7
MED024,2021-02-14,11
MED026,2021-02-14,4
MED032,2021-02-14,1
PH201,2021-02-14,42
PH202,2021-02-14,30
PH203,2021-02-14,7
PH206,2021-02-14,11
PH210,2021-02-14,5
PH212,2021-02-14,6
PH221,2021-02-14,8
ART001,2021-02-15,24
ART003,2021-02-15,35
ART004,2021-02-15,46
ART006,2021-02-15,5
ART008,2021-02-15,29
ART010,2021-02-15,4
ART011,2021-02-15,7
ART012,2021-02-15,19
ART013,2021-02-15,17
ART014,2021-02-15,17
ART018,2021-02-15,8
ART021,2021-02-15,12
ART035,2021-02-15,2
MED001,2021-02-15,33
MED002,2021-02-15,45
MED003,2021-02-15,59
MED004,2021-02-15,54
MED005,2021-02-15,35
MED006,2021-02-15,35
MED007,2021-02-15,22
MED008,2021-02-15,22
MED009,2021-02-15,38
MED010,2021-02-15,26
MED011,2021-02-15,25
MED012,2021-02-15,30
MED013,2021-02-15,10
MED014,2021-02-15,9
MED016,2021-02-15,13
MED017,2021-02-15,25
MED018,2021-02-15,8
MED023,2021-02-15,34
MED024,2021-02-15,8
MED026,2021-02-15,4
MED028,2021-02-15,1
MED031,2021-02-15,5
MED034,2021-02-15,15
MED038,2021-02-15,2
PH201,2021-02-15,27
PH202,2021-02-15,37
PH204,2021-02-15,5
PH205,2021-02-15,13
PH206,2021-02-15,40
PH208,2021-02-15,9
PH210,2021-02-15,5
PH212,2021-02-15,5
PH215,2021-02-15,2
PH220,2021-02-15,2
PH221,2021-02-15,1
PH222,2021-02-15,2
PH234,2021-02-15,29
ART001,2021-02-16,5
ART002,2021-02-16,43
ART004,2021-02-16,41
ART005,2021-02-16,36
ART006,2021-02-16,12
ART007,2021-02-16,5
ART008,2021-02-16,15
ART010,2021-02-16,4
ART011,2021-02-16,13
ART014,2021-02-16,7
ART015,2021-02-16,9
MED001,2021-02-16,51
MED002,2021-02-16,33
MED003,2021-02-16,39
MED004,2021-02-16,52
MED005,2021-02-16,36
MED006,2021-02-16,30
MED007,2021-02-16,22
MED008,2021-02-16,24
MED009,2021-02-16,50
MED010,2021-02-16,27
MED011,2021-02-16,32
MED012,2021-02-16,37
MED013,2021-02-16,5
MED014,2021-02-16,14
MED015,2021-02-16,10
MED016,2021-02-16,18
MED017,2021-02-16,19
MED018,2021-02-16,10
MED019,2021-02-16,6
MED020,2021-02-16,9
MED021,2021-02-16,16
MED024,2021-02-16,19
MED025,2021-02-16,14
MED026,2021-02-16,10
MED031,2021-02-16,5
MED032,2021-02-16,3
PH201,2021-02-16,75
PH202,2021-02-16,23
PH203,2021-02-16,22
PH204,2021-02-16,16
PH209,2021-02-16,15
PH217,2021-02-16,4
PH218,2021-02-16,15
PH221,2021-02-16,4
PH222,2021-02-16,4
PH234,2021-02-16,14
ART001,2021-02-17,28
ART002,2021-02-17,16
ART003,2021-02-17,38
ART004,2021-02-17,38
ART005,2021-02-17,24
ART006,2021-02-17,8
ART007,2021-02-17,8
ART008,2021-02-17,10
ART009,2021-02-17,18
ART012,2021-02-17,12
ART022,2021-02-17,3
ART025,2021-02-17,1
MED001,2021-02-17,48
MED002,2021-02-17,41
MED003,2021-02-17,66
MED004,2021-02-17,82
MED005,2021-02-17,39
MED007,2021-02-17,15
MED008,2021-02-17,3
MED009,2021-02-17,82
MED010,2021-02-17,46
MED011,2021-02-17,63
MED012,2021-02-17,38
MED013,2021-02-17,12
MED015,2021-02-17,11
MED016,2021-02-17,8
MED017,2021-02-17,11
MED018,2021-02-17,8
MED019,2021-02-17,34
MED020,2021-02-17,4
MED022,2021-02-17,16
MED024,2021-02-17,41
MED026,2021-02-17,3
MED028,2021-02-17,1
PH201,2021-02-17,34
PH202,2021-02-17,33
PH204,2021-02-17,9
PH205,2021-02-17,10
PH207,2021-02-17,12
PH208,2021-02-17,15
PH234,2021-02-17,8
ART001,2021-02-18,11
ART003,2021-02-18,34
ART004,2021-02-18,31
ART005,2021-02-18,23
ART006,2021-02-18,9
ART007,2021-02-18,10
ART009,2021-02-18,13
ART011,2021-02-18,11
ART012,2021-02-18,26
ART015,2021-02-18,5
ART017,2021-02-18,7
ART019,2021-02-18,2
ART020,2021-02-18,1
ART026,2021-02-18,2
MED001,2021-02-18,35
MED002,2021-02-18,22
MED003,2021-02-18,89
MED004,2021-02-18,52
MED005,2021-02-18,32
MED006,2021-02-18,27
MED007,2021-02-18,28
MED008,2021-02-18,25
MED009,2021-02-18,84
MED010,2021-02-18,29
MED011,2021-02-18,69
MED012,2021-02-18,59
MED013,2021-02-18,11
MED014,2021-02-18,13
MED017,2021-02-18,15
MED018,2021-02-18,11
MED020,2021-02-18,11
MED022,2021-02-18,7
MED023,2021-02-18,19
MED024,2021-02-18,16
MED026,2021-02-18,11
MED028,2021-02-18,5
MED038,2021-02-18,2
PH201,2021-02-18,13
PH202,2021-02-18,43
PH203,2021-02-18,13
PH204,2021-02-18,10
PH205,2021-02-18,5
PH207,2021-02-18,7
PH212,2021-02-18,5
PH213,2021-02-18,3
PH217,2021-02-18,1
PH220,2021-02-18,2
PH234,2021-02-18,21
ART001,2021-02-19,29
ART002,2021-02-19,23
ART003,2021-02-19,20
ART004,2021-02-19,25
ART005,2021-02-19,17
ART006,2021-02-19,14
ART007,2021-02-19,5
ART008,2021-02-19,19
ART009,2021-02-19,14
ART010,2021-02-19,10
ART012,2021-02-19,13
ART016,2021-02-19,3
ART020,2021-02-19,5
ART023,2021-02-19,8
ART025,2021-02-19,8
ART033,2021-02-19,1
MED001,2021-02-19,40
MED002,2021-02-19,28
MED003,2021-02-19,70
MED004,2021-02-19,53
MED005,2021-02-19,56
MED007,2021-02-19,21
MED008,2021-02-19,25
MED009,2021-02-19,52
MED010,2021-02-19,29
MED011,2021-02-19,36
MED012,2021-02-19,39
MED013,2021-02-19,8
MED015,2021-02-19,4
MED017,2021-02-19,8
MED019,2021-02-19,25
MED020,2021-02-19,10
MED021,2021-02-19,7
MED023,2021-02-19,22
MED024,2021-02-19,22
MED026,2021-02-19,1
MED027,2021-02-19,4
MED028,2021-02-19,2
MED032,2021-02-19,6
PH201,2021-02-19,56
PH202,2021-02-19,33
PH204,2021-02-19,21
PH206,2021-02-19,21
PH216,2021-02-19,2
PH221,2021-02-19,12
PH222,2021-02-19,4
PH224,2021-02-19,15
ART001,2021-02-20,20
ART002,2021-02-20,8
ART003,2021-02-20,12
ART004,2021-02-20,25
ART005,2021-02-20,17
ART006,2021-02-20,13
ART007,2021-02-20,5
ART008,2021-02-20,6
ART010,2021-02-20,6
ART012,2021-02-20,11
ART013,2021-02-20,4
ART015,2021-02-20,4
ART022,2021-02-20,1
ART026,2021-02-20,3
ART031,2021-02-20,1
ART034,2021-02-20,5
MED001,2021-02-20,32
MED002,2021-02-20,24
MED003,2021-02-20,28
MED004,2021-02-20,33
MED005,2021-02-20,49
MED006,2021-02-20,33
MED007,2021-02-20,20
MED008,2021-02-20,17
MED009,2021-02-20,24
MED010,2021-02-20,19
MED011,2021-02-20,24
MED012,2021-02-20,36
MED014,2021-02-20,10
MED015,2021-02-20,20
MED017,2021-02-20,16
MED018,2021-02-20,5
MED021,2021-02-20,15
MED024,2021-02-20,18
MED026,2021-02-20,11
MED029,2021-02-20,3
MED030,2021-02-20,6
MED032,2021-02-20,1
PH201,2021-02-20,27
PH202,2021-02-20,24
PH203,2021-02-20,13
PH204,2021-02-20,20
PH205,2021-02-20,15
PH206,2021-02-20,15
PH207,2021-02-20,11
PH210,2021-02-20,2
PH211,2021-02-20,4
PH218,2021-02-20,8
PH220,2021-02-20,2
PH223,2021-02-20,3
PH234,2021-02-20,14
ART002,2021-02-21,11
ART003,2021-02-21,13
ART004,2021-02-21,20
ART005,2021-02-21,8
ART006,2021-02-21,5
ART007,2021-02-21,4
ART010,2021-02-21,4
ART011,2021-02-21,1
ART012,2021-02-21,6
ART013,2021-02-21,7
ART027,2021-02-21,1
MED001,2021-02-21,31
MED002,2021-02-21,28
MED003,2021-02-21,32
MED004,2021-02-21,52
MED005,2021-02-21,31
MED006,2021-02-21,37
MED007,2021-02-21,17
MED008,2021-02-21,19
MED009,2021-02-21,44
MED010,2021-02-21,28
MED011,2021-02-21,20
MED012,2021-02-21,27
MED016,2021-02-21,4
MED018,2021-02-21,3
MED019,2021-02-21,9
MED023,2021-02-21,15
MED024,2021-02-21,7
MED025,2021-02-21,8
MED026,2021-02-21,5
MED027,2021-02-21,8
MED031,2021-02-21,7
PH201,2021-02-21,49
PH203,2021-02-21,16
PH204,2021-02-21,20
PH210,2021-02-21,5
PH234,2021-02-21,15
ART001,2021-02-22,27
ART002,2021-02-22,31
ART003,2021-02-22,33
ART004,2021-02-22,52
ART005,2021-02-22,37
ART006,2021-02-22,16
ART007,2021-02-22,12
ART008,2021-02-22,23
ART009,2021-02-22,20
ART011,2021-02-22,5
ART012,2021-02-22,16
ART013,2021-02-22,13
ART014,2021-02-22,18
ART015,2021-02-22,17
ART016,2021-02-22,4
ART018,2021-02-22,1
ART020,2021-02-22,3
ART024,2021-02-22,2
ART034,2021-02-22,6
MED001,2021-02-22,54
MED002,2021-02-22,27
MED003,2021-02-22,62
MED004,2021-02-22,27
MED005,2021-02-22,32
MED006,2021-02-22,47
MED007,2021-02-22,23
MED008,2021-02-22,26
MED009,2021-02-22,91
MED010,2021-02-22,37
MED011,2021-02-22,66
MED012,2021-02-22,33
MED013,2021-02-22,11
MED014,2021-02-22,17
MED015,2021-02-22,12
MED016,2021-02-22,10
MED018,2021-02-22,7
MED019,2021-02-22,7
MED020,2021-02-22,8
MED021,2021-02-22,20
MED024,2021-02-22,2
MED025,2021-02-22,14
MED026,2021-02-22,6
MED032,2021-02-22,1
MED035,2021-02-22,5
PH201,2021-02-22,44
PH203,2021-02-22,10
PH204,2021-02-22,7
PH205,2021-02-22,25
PH207,2021-02-22,9
PH208,2021-02-22,16
PH223,2021-02-22,3
PH234,2021-02-22,28
ART001,2021-02-23,40
ART002,2021-02-23,50
ART003,2021-02-23,26
ART004,2021-02-23,28
ART005,2021-02-23,33
ART006,2021-02-23,6
ART008,2021-02-23,21
ART010,2021-02-23,7
ART012,2021-02-23,9
ART015,2021-02-23,17
ART017,2021-02-23,1
ART024,2021-02-23,1
ART025,2021-02-23,7
ART026,2021-02-23,9
ART030,2021-02-23,1
ART033,2021-02-23,1
ART034,2021-02-23,1
MED001,2021-02-23,64
MED002,2021-02-23,28
MED003,2021-02-23,48
MED004,2021-02-23,22
MED005,2021-02-23,55
MED006,2021-02-23,44
MED007,2021-02-23,26
MED008,2021-02-23,32
MED009,2021-02-23,66
MED010,2021-02-23,30
MED011,2021-02-23,57
MED012,2021-02-23,40
MED013,2021-02-23,11
MED015,2021-02-23,33
MED016,2021-02-23,16
MED018,2021-02-23,9
MED019,2021-02-23,19
MED020,2021-02-23,5
MED025,2021-02-23,9
MED026,2021-02-23,8
MED035,2021-02-23,2
MED036,2021-02-23,5
MED037,2021-02-23,1
PH201,2021-02-23,37
PH202,2021-02-23,23
PH203,2021-02-23,6
PH204,2021-02-23,17
PH205,2021-02-23,17
PH206,2021-02-23,12
PH207,2021-02-23,9
PH219,2021-02-23,4
PH220,2021-02-23,2
PH222,2021-02-23,6
PH234,2021-02-23,29
ART002,2021-02-24,24
ART003,2021-02-24,34
ART004,2021-02-24,38
ART005,2021-02-24,36
ART008,2021-02-24,15
ART011,2021-02-24,7
ART012,2021-02-24,17
ART013,2021-02-24,23
ART015,2021-02-24,22
ART023,2021-02-24,2
MED001,2021-02-24,46
MED002,2021-02-24,20
MED003,2021-02-24,26
MED004,2021-02-24,34
MED005,2021-02-24,31
MED006,2021-02-24,33
MED007,2021-02-24,23
MED008,2021-02-24,14
MED009,2021-02-24,41
MED010,2021-02-24,42
